unique_key,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location
6874627,HR275734,19/4/2009 1:30:00,001XX W 105TH ST,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,512,5,34,49,03,1177377,1835334,2009,28/2/2018 3:56:25,41.70348343,-87.62609437,"(41.703483431, -87.626094371)"
1777619,G596869,5/10/2001 1:54:48,105XX S PERRY AV,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,512,5,,,03,1177419,1835300,2001,17/8/2015 3:03:40,41.70338918,-87.6259416,"(41.703389184, -87.6259416)"
5218114,HM799444,29/12/2006 7:30:00,103XX S COTTAGE GROVE AVE,031A,ROBBERY,ARMED: HANDGUN,GAS STATION,FALSE,FALSE,512,5,9,50,03,1182698,1836734,2006,28/2/2018 3:56:25,41.70720365,-87.60656688,"(41.707203646, -87.606566877)"
1707456,G508706,25/8/2001 11:53:58,103XX S COTTAGE GROVE,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,512,5,,,03,1182668,1836807,2001,17/8/2015 3:03:40,41.70740466,-87.60667448,"(41.707404662, -87.60667448)"
6863433,HR268676,15/4/2009 7:06:00,103XX S VERNON AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,512,5,9,49,03,1181069,1836601,2009,28/2/2018 3:56:25,41.70687625,-87.61253631,"(41.706876249, -87.612536305)"
9348226,HW492055,14/10/2013 4:00:00,103XX S CORLISS AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,512,5,9,50,03,1183397,1836757,2013,10/2/2018 3:50:01,41.70725054,-87.60400645,"(41.707250544, -87.604006449)"
2787033,HJ433760,16/6/2003 9:11:32,103XX S MICHIGAN AVE,031A,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,512,5,9,49,03,1178964,1836624,2003,28/2/2018 3:56:25,41.70698746,-87.62024403,"(41.706987456, -87.620244029)"
6797699,HR207591,10/3/2009 8:42:00,104XX S PRAIRIE AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,FALSE,FALSE,512,5,9,49,03,1179758,1835858,2009,28/2/2018 3:56:25,41.70486737,-87.61735975,"(41.70486737, -87.617359751)"
11332809,JB286642,31/5/2018 12:25:00,003XX W 104TH PL,031A,ROBBERY,ARMED: HANDGUN,ALLEY,FALSE,FALSE,512,5,34,49,03,1175977,1835632,2018,7/6/2018 3:54:58,41.70433262,-87.63121196,"(41.704332622, -87.63121196)"
12003651,JD177447,7/3/2020 3:06:00,104XX S MARYLAND AVE,031A,ROBBERY,ARMED - HANDGUN,STREET,FALSE,FALSE,512,5,9,50,03,1183755,1835814,2020,18/3/2020 3:52:17,41.70465451,-87.60272476,"(41.704654506, -87.602724763)"
